iter	Logloss
0	0.6919063793
1	0.6903030511
2	0.6886275533
3	0.6877035085
4	0.6863345531
5	0.685313584
6	0.684092225
7	0.6830497693
8	0.6819254051
9	0.6814163492
10	0.6802725828
11	0.6788070998
12	0.6779488087
13	0.6771359386
14	0.6758901044
15	0.67502804
16	0.673390016
17	0.6721763768
18	0.6713056899
19	0.6706263635
20	0.6698618103
21	0.6684560606
22	0.6676074529
23	0.6663337486
24	0.6655263735
25	0.6649285719
26	0.6637758387
27	0.6625341575
28	0.6614408762
29	0.6604182715
30	0.6591203119
31	0.6581925802
32	0.6567557521
33	0.6556518179
34	0.6548810164
35	0.654265947
36	0.6535466055
37	0.6526363021
38	0.6518289904
39	0.6508451584
40	0.6496523603
41	0.6490821002
42	0.6476975635
43	0.6468833701
44	0.6458692723
45	0.6449215018
46	0.643750064
47	0.6426510738
48	0.6417936351
49	0.640837588
50	0.6400035725
51	0.6390957115
52	0.6380539479
53	0.6370132463
54	0.6360198055
55	0.6348654168
56	0.634029027
57	0.6329976879
58	0.6322872531
59	0.6317301376
60	0.6306971589
61	0.6300113521
62	0.6291061514
63	0.6282036473
64	0.6275059497
65	0.6263379693
66	0.6256118594
67	0.6245781985
68	0.6235370325
69	0.6223769726
70	0.6213405745
71	0.6198881672
72	0.6191775653
73	0.6185732305
74	0.6176420788
75	0.6163744243
76	0.6153576223
77	0.6147224751
78	0.6135837893
79	0.6123400667
80	0.6114092381
81	0.6104042281
82	0.609442969
83	0.6086575986
84	0.6080760189
85	0.6074038372
86	0.6062913736
87	0.6053173824
88	0.6043820883
89	0.6030697114
90	0.6022163042
91	0.6011328428
92	0.6000432868
93	0.5989637444
94	0.5978121726
95	0.5967048963
96	0.5959674205
97	0.5952135425
98	0.5944980968
99	0.5937827619
100	0.5926672289
101	0.5917893059
102	0.5913805673
103	0.5904368283
104	0.5894693976
105	0.5885698483
106	0.5877280697
107	0.5865819718
108	0.5854306316
109	0.5846065291
110	0.583718506
111	0.5830402602
112	0.5823758042
113	0.5818416046
114	0.5809418606
115	0.5802337268
116	0.5795544488
117	0.5790177418
118	0.5778091337
119	0.5769434073
120	0.5763935638
121	0.5754041007
122	0.5747393404
123	0.5740479506
124	0.5731320054
125	0.5719683458
126	0.5708484362
127	0.5697837277
128	0.5689338573
129	0.5679997968
130	0.5674487788
131	0.5664432848
132	0.5658161481
133	0.5646295781
134	0.5637961297
135	0.5629194509
136	0.5623724657
137	0.561595208
138	0.5605353452
139	0.5598516614
140	0.5591029632
141	0.558278391
142	0.5576679444
143	0.5569546796
144	0.556147789
145	0.5552337318
146	0.5546349932
147	0.5540524647
148	0.553347542
149	0.5526094204
150	0.5515537577
151	0.5510730361
152	0.5501205809
153	0.5491633081
154	0.5485724728
155	0.5477879035
156	0.5472062652
157	0.5465977843
158	0.5457914916
159	0.5454603376
160	0.5444910358
161	0.5437622769
162	0.5431485946
163	0.5427170195
164	0.5417945534
165	0.5411026427
166	0.5401937387
167	0.5394039547
168	0.5386536812
169	0.5382364552
170	0.5377546714
171	0.5370742723
172	0.5362520493
173	0.535244657
174	0.5343960722
175	0.5338501568
176	0.5331371356
177	0.5326628356
178	0.532033761
179	0.5312192958
180	0.5306254114
181	0.5297312383
182	0.529014051
183	0.5284772656
184	0.5280308265
185	0.5273538719
186	0.5267193465
187	0.5259693076
188	0.5252394846
189	0.5245541363
190	0.5241016447
191	0.5233996232
192	0.5228930756
193	0.5220139729
194	0.521272725
195	0.5206574373
196	0.5199200558
197	0.5193396608
198	0.5184244579
199	0.5179774033
200	0.5169099955
201	0.5161840197
202	0.5154422744
203	0.5147192708
204	0.5141952015
205	0.5132747909
206	0.5126743933
207	0.5119690567
208	0.5111036419
209	0.5104333212
210	0.5094165496
211	0.5087618168
212	0.5076346056
213	0.5070987636
