iter	Passed	Remaining
0	25	18507
1	49	17858
2	72	17532
3	97	17637
4	120	17506
5	146	17627
6	170	17563
7	195	17628
8	219	17526
9	244	17570
10	269	17582
11	294	17585
12	317	17472
13	339	17335
14	369	17605
15	395	17606
16	418	17536
17	450	17799
18	479	17899
19	504	17894
20	530	17879
21	556	17887
22	581	17861
23	609	17898
24	633	17844
25	660	17849
26	684	17808
27	712	17847
28	747	18035
29	775	18064
30	801	18045
31	828	18047
32	857	18088
33	882	18030
34	913	18120
35	940	18102
36	964	18038
37	992	18050
38	1020	18054
39	1044	17996
40	1071	17987
41	1096	17934
42	1125	17963
43	1149	17903
44	1179	17924
45	1207	17927
46	1235	17923
47	1263	17932
48	1288	17879
49	1312	17819
50	1337	17783
51	1361	17727
52	1385	17674
53	1409	17620
54	1437	17621
55	1459	17543
56	1484	17498
57	1506	17427
58	1527	17348
59	1556	17351
60	1579	17300
61	1602	17235
62	1624	17173
63	1648	17128
64	1670	17067
65	1700	17084
66	1735	17148
67	1776	17273
68	1816	17370
69	1848	17402
70	1880	17428
71	1909	17423
72	1932	17367
73	1959	17348
74	1987	17330
75	2011	17279
76	2035	17235
77	2057	17170
78	2082	17136
79	2106	17088
80	2131	17050
81	2157	17022
82	2183	16991
83	2207	16952
84	2233	16924
85	2257	16877
86	2286	16873
87	2310	16832
88	2333	16780
89	2361	16766
90	2387	16738
91	2412	16707
92	2439	16682
93	2464	16650
94	2489	16616
95	2514	16579
96	2538	16536
97	2561	16494
98	2585	16453
99	2608	16409
100	2632	16369
101	2656	16328
102	2680	16290
103	2707	16270
104	2733	16244
105	2764	16246
106	2792	16233
107	2818	16209
108	2846	16191
109	2871	16155
110	2898	16139
111	2924	16110
112	2947	16067
113	2973	16039
114	2999	16013
115	3025	15989
116	3049	15950
117	3073	15916
118	3099	15887
119	3124	15857
120	3155	15854
121	3180	15825
122	3204	15785
123	3231	15764
124	3257	15738
125	3282	15707
126	3309	15688
127	3336	15666
128	3365	15654
129	3390	15622
130	3416	15593
131	3440	15562
132	3464	15526
133	3490	15499
134	3514	15462
135	3546	15461
136	3571	15433
137	3595	15397
138	3620	15365
139	3645	15335
140	3669	15302
141	3697	15283
142	3725	15265
143	3753	15247
144	3781	15232
145	3805	15196
146	3829	15163
147	3855	15136
148	3881	15110
149	3915	15113
150	3942	15089
151	3969	15066
152	4005	15077
153	4040	15087
154	4079	15106
155	4112	15106
156	4148	15112
157	4175	15089
158	4202	15065
159	4230	15044
160	4260	15030
161	4286	15004
162	4311	14972
163	4339	14950
164	4369	14937
165	4395	14908
166	4424	14888
167	4448	14854
168	4473	14824
169	4499	14795
170	4521	14755
171	4547	14725
172	4571	14692
173	4598	14666
174	4622	14633
175	4646	14601
176	4671	14568
177	4697	14541
178	4726	14524
179	4756	14507
180	4785	14488
181	4823	14496
182	4849	14467
183	4873	14433
184	4899	14408
185	4929	14392
186	4957	14369
187	4981	14335
188	5006	14305
189	5031	14274
190	5055	14241
191	5080	14210
192	5105	14179
193	5133	14155
194	5166	14147
195	5190	14115
196	5217	14090
197	5243	14061
198	5267	14030
199	5294	14003
200	5320	13976
201	5347	13952
202	5375	13929
203	5402	13902
204	5426	13871
205	5451	13841
206	5477	13812
207	5500	13778
208	5529	13756
209	5557	13735
210	5584	13709
211	5612	13686
212	5639	13663
213	5662	13627
214	5690	13604
215	5720	13585
216	5748	13562
217	5773	13532
218	5801	13510
219	5828	13485
220	5855	13458
