applicant_id,credit_score,monthly_income,monthly_rent,employment_type,employment_verified,income_verified,rental_history_years,previous_evictions,property_type,bedrooms,bathrooms,square_feet,property_age_years,city,furnished,pets_allowed,parking_spaces,lease_term_months,market_median_rent,local_unemployment_rate,inflation_rate,move_in_date,default_flag
10001,719,39283,37101,Part-time,1,1,0,0,Apartment,1,2,813,12,Hyderabad,1,0,0,12,25218,5.710698450343042,5.771315342678643,2022-01-01 00:00:00,0
10002,668,34499,8032,Self-employed,1,1,0,0,Villa,3,1,943,0,Bangalore,1,0,0,6,24114,4.8719850494707835,2.8523940101898826,2022-01-01 12:00:00,0
10003,731,77763,26978,Self-employed,1,1,1,0,Villa,2,1,943,5,Pune,0,0,1,12,30319,2.443309684934682,4.036033502552861,2022-01-02 00:00:00,0
10004,801,123780,11690,Part-time,1,1,5,0,Villa,1,1,1277,1,Hyderabad,0,0,1,12,27853,2.0622706841460405,5.359481686378432,2022-01-02 12:00:00,0
10005,661,62911,14340,Freelance,1,1,6,0,Apartment,2,2,690,10,Pune,0,0,1,12,19461,4.713952364149242,4.972625452203909,2022-01-03 00:00:00,0
10006,661,81571,18644,Freelance,0,1,1,0,Villa,3,2,955,1,Delhi,1,0,2,12,25815,3.880782851349486,7.508041172544937,2022-01-03 12:00:00,0
10007,806,30518,16586,Full-time,1,1,2,0,Villa,1,1,1179,1,Pune,0,0,0,12,30593,3.2667570999505013,7.3090867775573685,2022-01-04 00:00:00,0
10008,741,40147,5578,Self-employed,1,1,0,0,Apartment,2,1,686,8,Hyderabad,1,1,1,12,29676,3.400115164874437,3.9664500779476413,2022-01-04 12:00:00,0
10009,642,119203,47442,Part-time,1,0,7,0,Studio,2,2,1428,17,Mumbai,0,0,1,12,22107,3.8675088177158066,4.177220287673918,2022-01-05 00:00:00,0
10010,723,55346,39898,Full-time,1,1,7,0,Condo,4,2,721,13,Delhi,0,0,1,12,25255,3.603528294075841,4.674191991094578,2022-01-05 12:00:00,0
10011,642,29922,16278,Part-time,1,1,0,0,Condo,2,1,953,1,Bangalore,1,0,0,12,14161,6.6249460425441455,3.273851181134312,2022-01-06 00:00:00,0
10012,642,37273,34685,Full-time,1,0,2,0,Villa,2,2,1250,1,Bangalore,0,1,1,36,26761,4.875584546162498,7.282737463379048,2022-01-06 12:00:00,0
10013,699,83259,13651,Full-time,1,1,0,0,Condo,1,1,922,1,Mumbai,0,0,2,12,25394,6.2026992696494565,4.8103789643579855,2022-01-07 00:00:00,0
10014,526,89409,9067,Full-time,0,1,4,0,Apartment,4,3,529,11,Delhi,0,1,2,6,26913,4.072474621698244,5.932532063528276,2022-01-07 12:00:00,1
10015,542,18514,18733,Full-time,0,1,1,0,Condo,1,1,686,5,Bangalore,0,0,2,12,30557,3.746605916180054,7.700111721915992,2022-01-08 00:00:00,0
10016,635,48536,7956,Freelance,0,1,2,0,Villa,2,1,1001,5,Mumbai,1,0,0,12,24805,6.46876865462866,4.960825804470589,2022-01-08 12:00:00,0
10017,598,36088,27621,Self-employed,1,1,2,0,Condo,1,1,705,2,Hyderabad,0,0,1,12,26505,1.0,5.109189542629298,2022-01-09 00:00:00,1
10018,705,34460,11028,Self-employed,1,1,4,0,Apartment,2,2,611,2,Hyderabad,0,0,1,12,22575,4.779064164309453,4.728647526733164,2022-01-09 12:00:00,0
10019,607,105266,5883,Full-time,1,1,0,0,Studio,2,2,1163,4,Delhi,1,0,0,12,25139,5.725670222764939,7.436576914691187,2022-01-10 00:00:00,1
10020,567,30030,3000,Self-employed,1,1,1,0,Condo,2,3,943,9,Bangalore,1,0,0,12,23742,6.258769482038986,6.100760500261202,2022-01-10 12:00:00,0
10021,797,22914,16499,Part-time,1,1,6,0,Villa,3,1,1143,21,Hyderabad,0,1,2,12,34608,4.365170614794929,3.389862551915105,2022-01-11 00:00:00,0
10022,661,18920,22572,Self-employed,0,1,4,0,Studio,1,2,1091,4,Pune,1,0,0,12,31671,4.470884536598999,4.5119859690844,2022-01-11 12:00:00,1
10023,685,31582,46000,Freelance,1,1,2,0,Apartment,3,2,951,3,Delhi,0,0,1,12,32161,4.254239804609564,6.973918624815158,2022-01-12 00:00:00,0
10024,566,20167,5353,Full-time,1,1,4,0,Apartment,3,2,886,0,Hyderabad,0,0,2,6,24108,2.3888411793709516,4.321899313865536,2022-01-12 12:00:00,0
10025,636,18181,36550,Freelance,1,0,1,0,Apartment,1,2,547,16,Delhi,0,0,0,12,29538,5.857810924769782,7.622996504348438,2022-01-13 00:00:00,0
10026,688,17819,12822,Self-employed,1,1,4,0,Condo,4,3,481,4,Mumbai,0,0,0,12,18541,4.164424250827944,3.3962113372414207,2022-01-13 12:00:00,0
10027,587,18686,17272,Freelance,1,1,1,0,Apartment,2,1,885,3,Pune,0,1,0,12,22607,2.9216580983343627,3.7518799528908544,2022-01-14 00:00:00,0
10028,710,19758,18106,Self-employed,1,1,10,0,Condo,2,2,598,2,Bangalore,0,1,0,24,24601,4.732479965807382,6.8602656211516155,2022-01-14 12:00:00,0
10029,631,49973,17902,Freelance,1,1,2,0,Studio,1,1,661,1,Bangalore,0,0,1,12,19792,6.769514289104206,5.923454424041913,2022-01-15 00:00:00,1
10030,656,7570,4345,Freelance,1,1,6,0,Apartment,2,1,528,6,Delhi,0,1,2,24,20209,6.1012669467534835,6.19163611955354,2022-01-15 12:00:00,0
10031,631,20714,29765,Freelance,1,0,1,0,Apartment,3,1,508,4,Pune,0,0,0,12,31566,1.0,3.1575692206124897,2022-01-16 00:00:00,1
10032,828,33519,32343,Freelance,1,0,2,0,Condo,1,2,1221,3,Mumbai,0,0,0,12,32392,7.177361711658481,5.615892592723795,2022-01-16 12:00:00,1
10033,678,91025,35230,Full-time,1,1,0,1,Apartment,3,1,682,2,Delhi,0,0,0,12,26474,1.5239487524996047,5.2251435580705845,2022-01-17 00:00:00,0
10034,595,29829,25367,Part-time,1,1,1,0,Studio,1,2,904,1,Delhi,1,1,1,12,27357,5.86530031786031,5.253628331486976,2022-01-17 12:00:00,0
