applicant_id,age,employment_status,monthly_income,employment_verified,income_verified,credit_score,rental_history_years,previous_evictions,late_payments_count,missed_payments_count,on_time_payments_percent,property_type,bedrooms,bathrooms,square_feet,property_age_years,furnished,pets_allowed,parking,monthly_rent,security_deposit,market_median_rent,lease_term_months,city,local_unemployment_rate,inflation_rate,default_flag
APP000001,40,Full-time,34441,1,1,650,13,0,12,8,86.2,House,3,2,1247,36,0,1,0,50277,112332,35000,12,Mumbai,5.6,4.6,0
APP000002,33,Full-time,89515,1,1,668,7,0,5,3,88.7,House,4,2,1583,32,0,0,1,31700,79087,20000,12,Chennai,7.7,5.2,0
APP000003,42,Contract,11748,1,1,632,8,0,8,5,84.4,Apartment,2,1,569,4,0,1,1,17104,41668,35000,12,Mumbai,4.0,3.7,1
APP000004,53,Contract,34698,1,1,616,19,0,22,14,83.7,Townhouse,3,2,1309,1,0,0,2,30763,83554,20000,12,Chennai,6.3,4.3,0
APP000005,32,Full-time,20505,1,1,674,8,1,7,4,87.7,Apartment,2,2,746,0,1,1,1,13863,35155,22000,12,Hyderabad,3.5,6.3,0
APP000006,32,Full-time,46805,1,1,703,11,0,7,5,90.3,Studio,0,1,300,32,0,0,0,10341,22989,32000,12,Bangalore,6.0,4.9,0
APP000007,53,Full-time,11732,1,1,683,21,0,17,11,88.1,Condo,2,1,1122,8,0,1,2,37766,96221,28000,24,Delhi,8.1,6.1,1
APP000008,44,Self-employed,39814,0,0,661,13,0,12,8,87.1,Apartment,2,2,991,0,0,1,1,34087,82323,35000,12,Mumbai,8.1,4.1,1
APP000009,29,Full-time,116231,1,1,701,5,0,2,1,91.7,Apartment,3,2,1251,31,1,1,0,26442,61404,18000,24,Kolkata,5.0,6.3,1
APP000010,41,Full-time,26173,1,1,692,11,0,8,5,89.1,Apartment,2,1,779,12,0,1,0,24791,63132,28000,12,Delhi,7.9,3.6,0
APP000011,29,Full-time,14697,1,1,798,8,0,1,1,96.5,Apartment,2,1,608,27,1,0,1,12402,31116,20000,36,Chennai,4.2,4.2,1
APP000012,29,Contract,45862,0,0,469,6,0,11,7,73.3,Condo,2,1,710,6,0,1,0,14118,29764,20000,12,Chennai,8.0,4.9,1
APP000013,37,Part-time,15020,0,1,813,16,0,2,1,97.6,Apartment,1,1,300,30,1,1,1,9457,27851,35000,24,Mumbai,2.7,4.5,0
APP000014,18,Part-time,31983,1,1,828,0,0,0,0,99.1,Apartment,1,1,574,3,1,1,1,20416,60241,28000,12,Delhi,8.4,3.2,0
APP000015,18,Self-employed,63206,0,0,671,0,0,0,0,88.4,Apartment,2,2,1030,34,1,0,1,31998,64295,35000,24,Mumbai,7.3,3.6,1
APP000016,28,Part-time,33721,0,0,779,7,0,2,1,95.6,Apartment,3,2,1144,10,1,0,0,21066,63119,20000,24,Chennai,5.9,5.0,1
APP000017,22,Part-time,17880,1,1,680,3,0,2,1,88.0,House,2,1,994,3,0,1,1,20918,53741,25000,36,Pune,8.1,4.5,1
APP000018,38,Full-time,108482,1,1,684,7,0,4,3,90.3,House,5,2,2317,15,1,1,2,54234,125816,22000,12,Hyderabad,6.4,4.2,0
APP000019,24,Full-time,58495,1,1,737,4,0,1,1,93.1,Condo,4,2,1595,14,0,0,1,43063,98133,25000,12,Pune,5.9,3.2,1
APP000020,18,Self-employed,21174,0,1,807,0,0,0,0,97.3,House,3,2,807,18,1,1,0,20582,54100,25000,12,Pune,3.5,4.2,0
APP000021,52,Full-time,24584,1,0,796,11,0,2,1,96.6,House,3,2,1572,2,0,0,0,39015,101027,22000,36,Hyderabad,7.0,6.3,0
APP000022,32,Full-time,79428,1,0,715,11,0,6,4,91.9,House,3,2,1273,47,0,1,0,31472,87037,20000,12,Chennai,4.4,5.6,0
APP000023,35,Full-time,54248,1,1,679,12,0,9,6,88.8,House,3,2,1221,9,0,1,1,54382,137531,35000,12,Mumbai,5.3,6.7,0
APP000024,18,Unemployed,5000,1,1,790,0,0,0,0,95.7,Apartment,1,1,441,23,0,0,1,15768,32018,28000,12,Delhi,3.3,6.0,1
APP000025,28,Part-time,14652,1,1,602,8,0,10,6,82.3,House,5,2,2358,31,0,0,1,44486,126170,22000,12,Hyderabad,3.6,4.2,0
APP000026,36,Part-time,17475,1,1,577,5,0,7,4,80.5,House,4,2,1547,2,0,0,1,43762,102314,32000,12,Bangalore,3.2,3.7,0
APP000027,21,Part-time,29703,0,0,753,2,0,0,0,93.6,Townhouse,2,1,671,2,1,0,1,16708,45482,22000,12,Hyderabad,6.7,4.2,0
APP000028,39,Full-time,31767,1,0,841,7,0,0,0,100.0,Condo,3,3,1258,1,1,0,1,40837,116198,32000,12,Bangalore,3.3,6.3,1
APP000029,27,Full-time,79925,1,1,640,4,1,3,2,86.5,House,2,2,620,4,0,0,2,13157,35599,22000,11,Hyderabad,3.3,4.5,0
