rental_id,country,city,property_type,bedrooms,bathrooms,square_feet,property_age_years,parking_spaces,pets_allowed,furnished,monthly_rent,currency,security_deposit,lease_term_months,tenant_age,monthly_income,employment_type,employment_verified,income_verified,credit_score,rental_history_years,previous_evictions,on_time_payments,late_payments,missed_payments,payment_consistency_score,market_median_rent,days_to_rent_property,local_unemployment_rate,inflation_rate,rent_to_income_ratio,rent_vs_market_ratio,tenant_stability_score,property_desirability_score,default_flag,high_rent_burden,subprime_credit,verification_score,total_late_missed,rent_per_sqft,income_stability,credit_income_interaction,rent_credit_ratio,country_enc,city_enc,property_type_enc,employment_type_enc,currency_enc
RENT_Me000000,Mexico,Mexico City,Penthouse,1,1,1986.2,19.1,1,0,0,105692.01,MXN,211384.02,12,30,851281.17,Business Owner,0,1,661,2.8,1,3,4,5,0.25,120591.73,26,5.04,3.16,0.124,0.876,0.604,0.592,1,0,0,1,9,53.21317591,140940.5911,5626.968534,159.6556042,1,9,2,0,1
RENT_Du000001,Dubai,Dubai Marina,Villa,2,3,2347.5,8.2,1,0,1,36995.14,AED,36995.14,24,18,128910.7,Retired,1,1,756,0,0,11,0,1,0.917,35511.95,15,2.04,2.05,0.287,1.042,0.634,0.77,0,0,0,2,1,15.75937806,42404.83553,974.564892,48.87072655,0,5,5,4,0
RENT_Me000002,Mexico,Cancun,Villa,2,4,2459.8,7.8,2,1,1,61658.66,MXN,123317.32,12,32,237861.78,Retired,1,1,638,0.2,0,9,0,3,0.75,67363.27,9,5.67,6.09,0.259,0.915,0.629,0.803,0,0,0,2,3,25.06653386,35661.43628,1517.558156,96.49242567,1,2,5,4,1
RENT_Me000003,Mexico,Puebla,House,2,3,1536.4,16.6,1,0,1,21295.03,MXN,21295.03,12,27,49622.14,Retired,1,1,679,0.9,0,10,1,1,0.833,21423.23,19,4.92,4.07,0.429,0.994,0.596,0.695,0,1,0,2,2,13.86034236,8382.118243,336.9343306,31.31622059,1,11,1,4,1
RENT_Me000004,Mexico,Cancun,House,3,4,1888.2,15.7,1,0,1,20389.3,MXN,40778.6,6,23,61268.28,Part-time,1,0,553,1.3,0,11,1,0,0.917,18192.91,40,3.93,4.78,0.333,1.121,0.417,0.645,0,0,1,1,1,10.79827349,12427.643,338.8135884,36.80379061,1,2,1,3,1
RENT_Du000005,Dubai,Dubai Marina,Apartment,2,3,1061.2,7.5,0,1,0,15340.03,AED,30680.06,12,40,45034.34,Business Owner,1,1,754,1.3,0,12,0,0,1,15907.45,10,2,3.7,0.341,0.964,0.66,0.8,0,0,0,2,0,14.45536185,15011.44667,339.5589236,20.31792053,0,5,0,0,0
RENT_Du000006,Dubai,DIFC,Studio,1,2,609,11.6,3,0,0,6053.62,AED,12107.24,12,38,22246.96,Business Owner,1,0,703,3.7,0,11,2,0,0.917,6545.72,17,3.09,2.83,0.272,0.925,0.579,0.57,0,0,0,1,2,9.940262726,5439.354523,156.3961288,8.598892045,0,3,3,0,0
RENT_Du000007,Dubai,DIFC,Apartment,2,2,1082.2,0.5,3,0,0,6971.02,AED,13942.04,24,32,37149.45,Business Owner,1,0,656,7.1,0,9,2,1,0.75,7505.46,6,2.22,2.39,0.188,0.929,0.66,0.867,0,0,0,1,3,6.44152652,11537.09627,243.700392,10.61038052,0,3,0,0,0
RENT_Du000008,Dubai,Dubai Marina,Studio,1,2,607.3,11.3,0,1,0,7767.03,AED,7767.03,24,36,18473.75,Full-time Employed,1,1,772,4.9,0,5,4,3,0.417,7858.7,41,2.12,3.79,0.42,0.988,0.777,0.452,1,1,0,2,7,12.78944508,5921.073718,142.61735,10.04790427,0,5,3,2,0
RENT_Me000009,Mexico,Cancun,House,1,2,1467.3,10.4,0,1,0,24154.25,MXN,48308.5,24,42,57789.71,Freelancer,0,1,656,0,0,10,1,1,0.833,22140.57,3,4.53,4.39,0.418,1.091,0.355,0.766,0,1,0,1,2,16.46169836,10450.21881,379.1004976,36.76445967,1,2,1,1,1
RENT_Me000010,Mexico,Merida,House,0,0,1183.4,18.6,1,0,0,32007.35,MXN,64014.7,12,24,92463.72,Self-employed,1,1,792,0.9,0,10,3,0,0.833,29941.34,1,4.49,4.03,0.346,1.069,0.648,0.671,0,0,0,2,3,27.04694102,16842.20765,732.3126624,40.36235813,1,8,1,5,1
RENT_Du000011,Dubai,Business Bay,Villa,3,3,2846.3,14,0,0,0,31145.86,AED,62291.72,12,30,122947.83,Full-time Employed,1,1,704,2,0,10,1,1,0.833,32754.25,35,3.48,1.9,0.253,0.951,0.72,0.682,0,0,0,2,2,10.94257808,27443.71205,865.5527232,44.17852482,0,1,5,2,0
RENT_Me000012,Mexico,Merida,Studio,2,3,759.1,23.3,2,0,1,11183.53,MXN,22367.06,6,36,86014.2,Business Owner,1,1,850,1.2,0,10,1,1,0.833,11488.48,28,3.68,3.23,0.13,0.973,0.781,0.532,0,0,0,2,2,14.73261757,18379.10256,731.1207,13.14163337,1,8,3,0,1
RENT_Me000013,Mexico,Puebla,Studio,5,5,1413.4,13.4,2,0,0,15019.45,MXN,30038.9,12,36,48614.64,Freelancer,1,1,606,8.3,0,12,1,0,1,13277.83,64,3.56,4.16,0.309,1.131,0.788,0.66,0,0,0,2,1,10.62646809,10661.10526,294.6047184,24.7437397,1,11,3,1,1
RENT_Me000014,Mexico,Cancun,House,0,1,1255.6,10,2,0,0,40065,MXN,80130,24,42,123054.71,Self-employed,0,1,850,6.8,0,9,0,3,0.75,38130.22,10,5.54,5.06,0.326,1.051,0.637,0.683,0,0,0,1,3,31.90904747,18815.70489,1045.965035,47.07990599,1,2,1,5,1
RENT_Me000015,Mexico,Tijuana,Townhouse,0,0,1529.7,19.5,1,1,0,43836.52,MXN,87673.04,12,26,148221.32,Part-time,1,1,698,2.8,0,10,2,0,0.833,45986.72,1,3.22,3.41,0.296,0.953,0.728,0.665,0,0,0,2,2,28.65693927,35123.53555,1034.584814,62.71319027,1,12,4,3,1
RENT_Me000016,Mexico,Mexico City,Villa,2,3,2278.3,15.2,1,0,0,73989,MXN,73989,12,37,375340.77,Business Owner,1,1,603,4.1,0,10,2,0,0.833,77487.49,12,4.89,5.73,0.197,0.955,0.808,0.739,0,0,0,2,2,32.47553,63725.08829,2263.304843,122.4983444,1,9,5,0,1
